Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Previous Purchases,Payment Method,Frequency of Purchases,Discount_Flag,Has_Subscription,Purchase_Freq_Score,Discount_Reliance,Customer_Value_Index,Value_Band,Positive_Experience_Flag,Purchase_History_Band,EBL_raw,Loyalty_Score_1,SSL_raw,Loyalty_Score_2,Loyal_1,Loyal_2,Segment
11,53,Male,Shoes,Footwear,34,Arkansas,L,Purple,Fall,4.1,Yes,Store Pickup,Yes,26,Bank Transfer,Bi-Weekly,1,1,5,1,170,Mid,1,Established,0.46457142857142864,46.46,0.664,67.21,0,1,Deal Seeker
12,30,Male,Shorts,Clothing,68,Hawaii,S,Olive,Winter,4.9,Yes,Store Pickup,Yes,10,Bank Transfer,Fortnightly,1,1,6,1,408,High,1,Emerging,0.3242857142857143,32.43,0.8640000000000001,87.45,0,1,Deal Seeker
13,61,Male,Coat,Outerwear,72,Delaware,M,Gold,Winter,4.5,Yes,Express,Yes,37,Venmo,Fortnightly,1,1,6,1,432,High,1,Veteran,0.6212857142857143,62.13,0.8480000000000001,85.83,1,1,Promo-Dependent
14,65,Male,Dress,Clothing,51,New Hampshire,M,Violet,Spring,4.7,Yes,Express,Yes,31,PayPal,Weekly,1,1,7,1,357,High,1,Established,0.591,59.1,0.78,78.95,1,1,Promo-Dependent
15,64,Male,Coat,Outerwear,53,New York,L,Teal,Winter,4.7,Yes,Free Shipping,Yes,34,Debit Card,Weekly,1,1,7,1,371,High,1,Veteran,0.6240000000000001,62.4,0.788,79.76,1,1,Promo-Dependent
16,64,Male,Skirt,Clothing,81,Rhode Island,M,Teal,Winter,2.8,Yes,Store Pickup,Yes,8,PayPal,Monthly,1,1,4,1,324,High,0,Emerging,0.23085714285714287,23.09,0.748,75.71,0,1,Deal Seeker
17,25,Male,Sunglasses,Accessories,36,Alabama,S,Gray,Spring,4.1,Yes,Next Day Air,Yes,44,Debit Card,Bi-Weekly,1,1,5,1,180,Mid,1,Veteran,0.6625714285714286,66.26,0.6719999999999999,68.02,1,1,Promo-Dependent
18,53,Male,Dress,Clothing,38,Mississippi,XL,Lavender,Winter,4.7,Yes,2-Day Shipping,Yes,36,Venmo,Quarterly,1,1,3,1,114,Low,1,Veteran,0.5031428571428571,50.31,0.728,73.68,0,1,Deal Seeker
19,52,Male,Sweater,Clothing,48,Montana,S,Black,Summer,4.6,Yes,Free Shipping,Yes,17,Cash,Weekly,1,1,7,1,336,High,1,Established,0.43700000000000006,43.7,0.76,76.92,0,1,Deal Seeker
20,66,Male,Pants,Clothing,90,Rhode Island,M,Green,Summer,3.3,Yes,Standard,Yes,46,Debit Card,Bi-Weekly,1,1,5,1,450,High,0,Veteran,0.6845714285714287,68.46,0.8240000000000001,83.4,1,1,Promo-Dependent
21,21,Male,Pants,Clothing,51,Louisiana,M,Black,Winter,2.8,Yes,Express,Yes,50,Cash,Every 3 Months,1,1,3,1,153,Low,0,Veteran,0.6571428571428571,65.71,0.628,63.56,1,1,Promo-Dependent
22,31,Male,Pants,Clothing,62,North Carolina,M,Charcoal,Winter,4.1,Yes,Store Pickup,Yes,22,Debit Card,Quarterly,1,1,3,1,186,Mid,1,Established,0.34914285714285714,34.91,0.776,78.54,0,1,Deal Seeker
23,56,Male,Pants,Clothing,37,California,M,Peach,Summer,3.2,Yes,Store Pickup,Yes,32,Debit Card,Annually,1,1,1,1,37,Low,0,Established,0.38771428571428573,38.77,0.6040000000000001,61.13,0,1,Deal Seeker
24,31,Male,Pants,Clothing,88,Oklahoma,XL,White,Winter,4.4,Yes,Express,Yes,40,Credit Card,Weekly,1,1,7,1,616,High,1,Veteran,0.6900000000000001,69.0,0.9040000000000001,91.5,1,1,Promo-Dependent
25,18,Male,Jacket,Outerwear,22,Florida,M,Green,Fall,2.9,Yes,Store Pickup,Yes,16,Debit Card,Weekly,1,1,7,1,154,Mid,0,Emerging,0.42600000000000005,42.6,0.52,52.63,0,0,Deal Seeker
26,18,Male,Hoodie,Clothing,25,Texas,M,Silver,Summer,3.6,Yes,Express,Yes,14,PayPal,Annually,1,1,1,1,25,Low,0,Emerging,0.18971428571428572,18.97,0.5880000000000001,59.51,0,0,Deal Seeker
27,38,Male,Jewelry,Accessories,20,Nevada,M,Red,Spring,3.6,Yes,Next Day Air,Yes,13,Credit Card,Annually,1,1,1,1,20,Low,0,Emerging,0.17871428571428571,17.87,0.5680000000000001,57.49,0,0,Deal Seeker
28,56,Male,Shorts,Clothing,56,Kentucky,L,Cyan,Summer,5.0,Yes,Next Day Air,Yes,7,Bank Transfer,Every 3 Months,1,1,3,1,168,Mid,1,Emerging,0.18414285714285716,18.41,0.8240000000000001,83.4,0,1,Deal Seeker
29,54,Male,Handbag,Accessories,94,North Carolina,M,Gray,Fall,4.4,Yes,Free Shipping,Yes,41,PayPal,Every 3 Months,1,1,3,1,282,Mid,1,Veteran,0.5581428571428572,55.81,0.9280000000000002,93.93,1,1,Promo-Dependent
30,31,Male,Dress,Clothing,48,Wyoming,S,Black,Fall,4.1,Yes,Store Pickup,Yes,14,Credit Card,Weekly,1,1,7,1,336,High,1,Emerging,0.404,40.4,0.72,72.87,0,1,Deal Seeker
31,57,Male,Jewelry,Accessories,31,North Carolina,L,Black,Winter,4.7,Yes,Standard,Yes,16,Credit Card,Monthly,1,1,4,1,124,Low,1,Emerging,0.31885714285714284,31.89,0.7,70.85,0,1,Deal Seeker
32,33,Male,Dress,Clothing,79,West Virginia,L,Brown,Winter,4.7,Yes,Store Pickup,Yes,45,Venmo,Monthly,1,1,4,1,316,High,1,Veteran,0.6378571428571429,63.79,0.8920000000000001,90.28,1,1,Promo-Dependent
33,36,Male,Jacket,Outerwear,67,Kansas,M,Silver,Summer,4.9,Yes,Free Shipping,Yes,37,Venmo,Annually,1,1,1,1,67,Low,1,Veteran,0.4427142857142857,44.27,0.8600000000000001,87.04,0,1,Deal Seeker
34,54,Male,Pants,Clothing,38,Colorado,L,Green,Summer,3.3,Yes,Store Pickup,Yes,45,Cash,Quarterly,1,1,3,1,114,Low,0,Veteran,0.6021428571428572,60.21,0.616,62.35,1,1,Promo-Dependent
35,36,Male,T-shirt,Clothing,91,North Dakota,L,Violet,Spring,4.6,Yes,2-Day Shipping,Yes,38,PayPal,Quarterly,1,1,3,1,273,Mid,1,Veteran,0.5251428571428571,52.51,0.9319999999999999,94.33,0,1,Deal Seeker
36,54,Male,Blouse,Clothing,33,Massachusetts,M,Cyan,Summer,4.0,Yes,2-Day Shipping,Yes,48,Credit Card,Bi-Weekly,1,1,5,1,165,Mid,1,Veteran,0.7065714285714286,70.66,0.6520000000000001,65.99,1,1,Promo-Dependent
37,35,Male,T-shirt,Clothing,69,Illinois,M,Maroon,Winter,4.6,Yes,Free Shipping,Yes,44,PayPal,Fortnightly,1,1,6,1,414,High,1,Veteran,0.6982857142857143,69.83,0.8439999999999999,85.43,1,1,Promo-Dependent
38,35,Male,Jeans,Clothing,45,Indiana,S,Cyan,Summer,2.8,Yes,Store Pickup,Yes,10,PayPal,Weekly,1,1,7,1,315,High,0,Emerging,0.36,36.0,0.6040000000000001,61.13,0,1,Deal Seeker
39,29,Male,Dress,Clothing,37,Florida,M,Red,Winter,3.8,Yes,2-Day Shipping,Yes,44,Venmo,Every 3 Months,1,1,3,1,111,Low,1,Veteran,0.5911428571428572,59.11,0.6520000000000001,65.99,1,1,Promo-Dependent
40,70,Male,Pants,Clothing,60,Arizona,S,Turquoise,Summer,4.2,Yes,Express,Yes,18,Credit Card,Monthly,1,1,4,1,240,Mid,1,Established,0.34085714285714286,34.09,0.776,78.54,0,1,Deal Seeker
41,69,Male,Handbag,Accessories,76,Louisiana,L,Beige,Winter,4.6,Yes,Next Day Air,Yes,31,Debit Card,Quarterly,1,1,3,1,228,Mid,1,Established,0.4481428571428572,44.81,0.8720000000000001,88.26,0,1,Deal Seeker
42,67,Male,Scarf,Accessories,39,Alaska,M,Orange,Spring,4.5,Yes,Standard,Yes,40,Venmo,Annually,1,1,1,1,39,Low,1,Veteran,0.47571428571428576,47.57,0.716,72.47,0,1,Deal Seeker
43,20,Male,Coat,Outerwear,100,Tennessee,M,Beige,Spring,4.1,Yes,Free Shipping,Yes,15,PayPal,Annually,1,1,1,1,100,Low,1,Emerging,0.20071428571428573,20.07,0.9279999999999999,93.93,0,1,Deal Seeker
44,25,Male,Scarf,Accessories,69,Ohio,L,Lavender,Fall,3.7,Yes,Store Pickup,Yes,19,PayPal,Fortnightly,1,1,6,1,414,High,0,Established,0.42328571428571427,42.33,0.772,78.14,0,1,Deal Seeker
45,39,Male,Hat,Accessories,53,Kentucky,S,Silver,Summer,4.6,Yes,Free Shipping,Yes,45,PayPal,Weekly,1,1,7,1,371,High,1,Veteran,0.7450000000000001,74.5,0.78,78.95,1,1,Promo-Dependent
46,50,Male,Socks,Clothing,21,Tennessee,XL,Indigo,Fall,2.9,Yes,2-Day Shipping,Yes,25,PayPal,Annually,1,1,1,1,21,Low,0,Established,0.3107142857142857,31.07,0.516,52.23,0,0,Deal Seeker
47,57,Male,Shirt,Clothing,43,California,L,White,Summer,2.9,Yes,Store Pickup,Yes,45,Cash,Quarterly,1,1,3,1,129,Low,0,Veteran,0.6021428571428572,60.21,0.6040000000000001,61.13,1,1,Promo-Dependent
48,55,Male,Jewelry,Accessories,54,Montana,M,Charcoal,Winter,4.5,Yes,Free Shipping,Yes,36,Cash,Weekly,1,1,7,1,378,High,1,Veteran,0.646,64.6,0.776,78.54,1,1,Promo-Dependent
49,42,Male,Shirt,Clothing,55,Nevada,M,Orange,Summer,2.7,Yes,Store Pickup,Yes,38,Cash,Monthly,1,1,4,1,220,Mid,0,Veteran,0.5608571428571429,56.09,0.6360000000000001,64.37,1,1,Promo-Dependent
50,68,Male,Hoodie,Clothing,30,New Jersey,S,Indigo,Spring,4.6,Yes,Next Day Air,Yes,34,Debit Card,Bi-Weekly,1,1,5,1,150,Low,1,Veteran,0.5525714285714286,55.26,0.688,69.64,1,1,Promo-Dependent
51,49,Male,Blouse,Clothing,28,Maryland,M,Red,Spring,3.8,Yes,Store Pickup,Yes,39,Debit Card,Bi-Weekly,1,1,5,1,140,Low,1,Veteran,0.6075714285714287,60.76,0.6160000000000001,62.35,1,1,Promo-Dependent
52,59,Male,Skirt,Clothing,59,Vermont,XL,Gray,Winter,4.7,Yes,2-Day Shipping,Yes,7,Credit Card,Quarterly,1,1,3,1,177,Mid,1,Emerging,0.18414285714285716,18.41,0.812,82.19,0,1,Deal Seeker
53,42,Male,T-shirt,Clothing,20,Alaska,M,Green,Summer,2.6,Yes,Free Shipping,Yes,26,Credit Card,Weekly,1,1,7,1,140,Low,0,Established,0.536,53.6,0.48800000000000004,49.39,0,0,Deal Seeker
54,29,Male,Skirt,Clothing,24,Mississippi,S,Peach,Winter,3.9,Yes,Next Day Air,Yes,35,Credit Card,Weekly,1,1,7,1,168,Mid,1,Veteran,0.635,63.5,0.6080000000000001,61.54,1,1,Promo-Dependent
55,47,Male,Coat,Outerwear,94,New Mexico,M,Brown,Summer,4.2,Yes,Next Day Air,Yes,35,Debit Card,Bi-Weekly,1,1,5,1,470,High,1,Veteran,0.5635714285714286,56.36,0.9120000000000001,92.31,1,1,Promo-Dependent
56,40,Male,Jacket,Outerwear,28,South Carolina,M,Lavender,Winter,3.0,Yes,2-Day Shipping,Yes,49,Credit Card,Annually,1,1,1,1,28,Low,0,Veteran,0.5747142857142857,57.47,0.552,55.87,1,0,Promo-Dependent
57,41,Male,Backpack,Accessories,73,Mississippi,XL,Brown,Summer,4.7,Yes,Store Pickup,Yes,46,Credit Card,Weekly,1,1,7,1,511,High,1,Veteran,0.7560000000000001,75.6,0.8680000000000001,87.85,1,1,Promo-Dependent
58,21,Male,Coat,Outerwear,64,West Virginia,M,White,Summer,4.4,Yes,Store Pickup,Yes,17,Debit Card,Fortnightly,1,1,6,1,384,High,1,Established,0.4012857142857143,40.13,0.808,81.78,0,1,Deal Seeker
59,69,Male,Hoodie,Clothing,54,Missouri,M,Charcoal,Summer,4.2,Yes,Free Shipping,Yes,29,Venmo,Monthly,1,1,4,1,216,Mid,1,Established,0.46185714285714285,46.19,0.752,76.11,0,1,Deal Seeker
60,63,Male,Belt,Accessories,79,Louisiana,L,Yellow,Spring,4.6,Yes,Standard,Yes,4,Debit Card,Weekly,1,1,7,1,553,High,1,Emerging,0.294,29.4,0.8840000000000001,89.47,0,1,Deal Seeker
61,50,Male,Sweater,Clothing,37,Idaho,L,Brown,Summer,4.0,Yes,Express,Yes,17,Cash,Weekly,1,1,7,1,259,Mid,1,Established,0.43700000000000006,43.7,0.6680000000000001,67.61,0,1,Deal Seeker
62,55,Male,Scarf,Accessories,68,Texas,M,Orange,Winter,4.7,Yes,Store Pickup,Yes,21,Credit Card,Every 3 Months,1,1,3,1,204,Mid,1,Established,0.33814285714285713,33.81,0.8480000000000001,85.83,0,1,Deal Seeker
63,30,Male,Sneakers,Footwear,21,Mississippi,S,Magenta,Spring,3.8,Yes,Free Shipping,Yes,31,Credit Card,Fortnightly,1,1,6,1,126,Low,1,Established,0.5552857142857143,55.53,0.5880000000000001,59.51,1,0,Promo-Dependent
64,33,Male,Sunglasses,Accessories,79,Arizona,L,Lavender,Winter,2.7,Yes,2-Day Shipping,Yes,43,Credit Card,Weekly,1,1,7,1,553,High,0,Veteran,0.7230000000000001,72.3,0.732,74.09,1,1,Promo-Dependent
65,65,Male,Boots,Footwear,83,Alabama,S,Green,Fall,4.8,Yes,Standard,Yes,18,Debit Card,Fortnightly,1,1,6,1,498,High,1,Established,0.41228571428571426,41.23,0.9159999999999999,92.71,0,1,Deal Seeker
66,65,Male,Backpack,Accessories,36,New Jersey,M,Purple,Spring,4.8,Yes,2-Day Shipping,Yes,44,Venmo,Every 3 Months,1,1,3,1,108,Low,1,Veteran,0.5911428571428572,59.11,0.728,73.68,1,1,Promo-Dependent
67,31,Male,Blouse,Clothing,94,Pennsylvania,S,Magenta,Winter,4.7,Yes,2-Day Shipping,Yes,3,Venmo,Every 3 Months,1,1,3,1,282,Mid,1,Emerging,0.14014285714285712,14.01,0.952,96.36,0,1,Deal Seeker
68,45,Male,Coat,Outerwear,33,Connecticut,L,Gray,Winter,4.4,Yes,Store Pickup,Yes,49,Debit Card,Monthly,1,1,4,1,132,Low,1,Veteran,0.6818571428571429,68.19,0.6840000000000002,69.23,1,1,Promo-Dependent
69,57,Male,Handbag,Accessories,46,Utah,L,Silver,Summer,3.9,Yes,Next Day Air,Yes,21,Cash,Every 3 Months,1,1,3,1,138,Low,1,Established,0.33814285714285713,33.81,0.6960000000000002,70.45,0,1,Deal Seeker
70,48,Male,Belt,Accessories,70,Tennessee,S,Cyan,Summer,4.4,Yes,Express,Yes,5,Cash,Weekly,1,1,7,1,490,High,1,Emerging,0.305,30.5,0.8320000000000001,84.21,0,1,Deal Seeker
71,22,Male,Belt,Accessories,29,Alabama,M,Magenta,Fall,4.2,Yes,Express,Yes,32,Debit Card,Every 3 Months,1,1,3,1,87,Low,1,Established,0.4591428571428572,45.91,0.6520000000000001,65.99,0,1,Deal Seeker
72,36,Male,Dress,Clothing,48,Virginia,L,Gold,Summer,2.9,Yes,Express,Yes,34,Bank Transfer,Annually,1,1,1,1,48,Low,0,Veteran,0.40971428571428575,40.97,0.624,63.16,0,1,Deal Seeker
73,18,Male,Dress,Clothing,26,Georgia,M,Olive,Winter,2.9,Yes,Store Pickup,Yes,21,Bank Transfer,Every 3 Months,1,1,3,1,78,Low,0,Established,0.33814285714285713,33.81,0.536,54.25,0,0,Deal Seeker
74,48,Male,Pants,Clothing,85,Hawaii,M,Teal,Spring,2.7,Yes,Free Shipping,Yes,43,Bank Transfer,Bi-Weekly,1,1,5,1,425,High,0,Veteran,0.6515714285714286,65.16,0.756,76.52,1,1,Promo-Dependent
75,49,Male,Gloves,Accessories,58,Indiana,L,Violet,Spring,4.5,Yes,Express,Yes,3,Cash,Monthly,1,1,4,1,232,Mid,1,Emerging,0.17585714285714285,17.59,0.792,80.16,0,1,Deal Seeker
76,64,Male,Scarf,Accessories,85,Utah,M,Blue,Summer,2.7,Yes,Free Shipping,Yes,21,Credit Card,Annually,1,1,1,1,85,Low,0,Established,0.26671428571428574,26.67,0.756,76.52,0,1,Deal Seeker
77,50,Male,Hat,Accessories,43,Delaware,S,Teal,Summer,4.2,Yes,Free Shipping,Yes,32,Venmo,Monthly,1,1,4,1,172,Mid,1,Established,0.4948571428571429,49.49,0.7080000000000002,71.66,0,1,Deal Seeker
78,22,Male,Dress,Clothing,53,Delaware,L,Gold,Summer,3.3,Yes,Next Day Air,Yes,36,Debit Card,Fortnightly,1,1,6,1,318,High,0,Veteran,0.6102857142857143,61.03,0.6759999999999999,68.42,1,1,Promo-Dependent
79,50,Male,Skirt,Clothing,91,Nebraska,M,Maroon,Spring,4.7,Yes,Free Shipping,Yes,50,Venmo,Fortnightly,1,1,6,1,546,High,1,Veteran,0.7642857142857143,76.43,0.9400000000000002,95.14,1,1,Promo-Dependent
80,38,Male,Jacket,Outerwear,96,Iowa,M,Olive,Winter,2.6,Yes,2-Day Shipping,Yes,43,Bank Transfer,Every 3 Months,1,1,3,1,288,Mid,0,Veteran,0.5801428571428572,58.01,0.792,80.16,1,1,Promo-Dependent
81,19,Male,Sandals,Footwear,72,New York,XL,Blue,Summer,3.8,Yes,Store Pickup,Yes,24,Credit Card,Every 3 Months,1,1,3,1,216,Mid,1,Established,0.37114285714285716,37.11,0.792,80.16,0,1,Deal Seeker
82,67,Male,Shoes,Footwear,96,Virginia,L,Maroon,Summer,2.6,Yes,Express,Yes,36,Credit Card,Every 3 Months,1,1,3,1,288,Mid,0,Veteran,0.5031428571428571,50.31,0.792,80.16,0,1,Deal Seeker
83,19,Male,Pants,Clothing,28,Georgia,S,Olive,Spring,4.0,Yes,2-Day Shipping,Yes,21,Credit Card,Every 3 Months,1,1,3,1,84,Low,1,Established,0.33814285714285713,33.81,0.6320000000000001,63.97,0,1,Deal Seeker
84,36,Male,Dress,Clothing,40,Texas,M,Turquoise,Summer,4.1,Yes,Standard,Yes,34,Bank Transfer,Weekly,1,1,7,1,280,Mid,1,Veteran,0.6240000000000001,62.4,0.6880000000000001,69.64,1,1,Promo-Dependent
85,52,Male,Coat,Outerwear,32,Arizona,S,Peach,Spring,4.4,Yes,Standard,Yes,42,Bank Transfer,Every 3 Months,1,1,3,1,96,Low,1,Veteran,0.5691428571428572,56.91,0.6800000000000002,68.83,1,1,Promo-Dependent
86,53,Male,Sunglasses,Accessories,95,New Mexico,M,Charcoal,Winter,4.5,Yes,Next Day Air,Yes,2,Debit Card,Bi-Weekly,1,1,5,1,475,High,1,Emerging,0.20057142857142857,20.06,0.94,95.14,0,1,Deal Seeker
87,24,Male,Hoodie,Clothing,41,Nevada,L,Pink,Spring,3.7,Yes,2-Day Shipping,Yes,47,Cash,Bi-Weekly,1,1,5,1,205,Mid,0,Veteran,0.6955714285714286,69.56,0.6599999999999999,66.8,1,1,Promo-Dependent
88,52,Male,Shoes,Footwear,53,Ohio,M,Green,Fall,3.7,Yes,2-Day Shipping,Yes,44,Debit Card,Fortnightly,1,1,6,1,318,High,0,Veteran,0.6982857142857143,69.83,0.708,71.66,1,1,Promo-Dependent
89,33,Male,T-shirt,Clothing,47,Wyoming,M,Orange,Fall,3.5,Yes,Free Shipping,Yes,35,Credit Card,Monthly,1,1,4,1,188,Mid,0,Veteran,0.5278571428571428,52.79,0.6679999999999999,67.61,0,1,Deal Seeker
90,47,Male,Jacket,Outerwear,83,California,XL,Pink,Fall,3.6,Yes,Next Day Air,Yes,15,Cash,Quarterly,1,1,3,1,249,Mid,0,Emerging,0.27214285714285713,27.21,0.8200000000000001,83.0,0,1,Deal Seeker
91,25,Male,Hat,Accessories,48,South Carolina,L,Violet,Summer,2.9,Yes,Express,Yes,29,Credit Card,Monthly,1,1,4,1,192,Mid,0,Established,0.46185714285714285,46.19,0.624,63.16,0,1,Deal Seeker
92,44,Male,Scarf,Accessories,99,South Carolina,S,Green,Winter,4.6,Yes,Standard,Yes,18,Credit Card,Every 3 Months,1,1,3,1,297,High,1,Established,0.30514285714285716,30.51,0.964,97.57,0,1,Deal Seeker
93,61,Male,Jacket,Outerwear,87,Texas,M,Olive,Winter,4.4,Yes,2-Day Shipping,Yes,13,Venmo,Every 3 Months,1,1,3,1,261,Mid,1,Emerging,0.25014285714285717,25.01,0.9000000000000001,91.09,0,1,Deal Seeker
94,37,Male,Sweater,Clothing,62,Florida,M,Purple,Fall,4.5,Yes,Standard,Yes,46,Credit Card,Weekly,1,1,7,1,434,High,1,Veteran,0.7560000000000001,75.6,0.808,81.78,1,1,Promo-Dependent
95,58,Male,Skirt,Clothing,76,Nevada,S,Silver,Spring,4.6,Yes,Free Shipping,Yes,28,Credit Card,Weekly,1,1,7,1,532,High,1,Established,0.558,55.8,0.8720000000000001,88.26,1,1,Promo-Dependent
96,37,Male,Sneakers,Footwear,100,Missouri,L,Pink,Fall,3.8,Yes,Free Shipping,Yes,48,PayPal,Monthly,1,1,4,1,400,High,1,Veteran,0.6708571428571428,67.09,0.9040000000000001,91.5,1,1,Promo-Dependent
97,32,Male,Gloves,Accessories,73,Delaware,S,Gold,Spring,3.8,Yes,Express,Yes,43,Venmo,Every 3 Months,1,1,3,1,219,Mid,1,Veteran,0.5801428571428572,58.01,0.796,80.57,1,1,Promo-Dependent
98,21,Male,Shoes,Footwear,92,Virginia,M,Teal,Winter,4.8,Yes,Store Pickup,Yes,37,Cash,Annually,1,1,1,1,92,Low,1,Veteran,0.4427142857142857,44.27,0.952,96.36,0,1,Deal Seeker
99,20,Male,Jeans,Clothing,67,New York,XL,Teal,Spring,2.6,Yes,Next Day Air,Yes,20,Bank Transfer,Annually,1,1,1,1,67,Low,0,Established,0.2557142857142857,25.57,0.676,68.42,0,1,Deal Seeker
100,26,Male,Hoodie,Clothing,40,Missouri,XL,Indigo,Summer,3.7,Yes,Express,Yes,33,Debit Card,Quarterly,1,1,3,1,120,Low,0,Established,0.4701428571428572,47.01,0.656,66.4,0,1,Deal Seeker
101,62,Male,Sunglasses,Accessories,98,South Dakota,M,Maroon,Fall,2.7,Yes,Express,Yes,31,Cash,Fortnightly,1,1,6,1,588,High,0,Established,0.5552857142857143,55.53,0.808,81.78,1,1,Promo-Dependent
102,27,Male,Coat,Outerwear,85,North Dakota,XL,White,Spring,4.6,Yes,Express,Yes,50,Credit Card,Bi-Weekly,1,1,5,1,425,High,1,Veteran,0.7285714285714286,72.86,0.9079999999999999,91.9,1,1,Promo-Dependent
103,51,Male,Socks,Clothing,67,Oklahoma,L,Violet,Winter,4.8,Yes,Next Day Air,Yes,35,Credit Card,Quarterly,1,1,3,1,201,Mid,1,Veteran,0.49214285714285716,49.21,0.8520000000000001,86.23,0,1,Deal Seeker
104,54,Male,Boots,Footwear,89,West Virginia,L,Red,Winter,4.0,Yes,Next Day Air,Yes,22,Venmo,Bi-Weekly,1,1,5,1,445,High,1,Established,0.4205714285714286,42.06,0.8760000000000001,88.66,0,1,Deal Seeker
105,55,Male,Sunglasses,Accessories,24,New Hampshire,L,Pink,Spring,4.4,Yes,2-Day Shipping,Yes,1,PayPal,Monthly,1,1,4,1,96,Low,1,Emerging,0.15385714285714286,15.39,0.6480000000000001,65.59,0,1,Deal Seeker
106,69,Male,Backpack,Accessories,96,New York,M,Charcoal,Fall,3.6,Yes,Next Day Air,Yes,4,Bank Transfer,Annually,1,1,1,1,96,Low,0,Emerging,0.07971428571428571,7.97,0.8719999999999999,88.26,0,1,Deal Seeker
107,64,Male,Jacket,Outerwear,35,Minnesota,L,White,Summer,3.7,Yes,Standard,Yes,31,Credit Card,Monthly,1,1,4,1,140,Low,0,Established,0.4838571428571429,48.39,0.6359999999999999,64.37,0,1,Deal Seeker
108,28,Male,Sneakers,Footwear,67,Maryland,L,Olive,Winter,3.1,Yes,Next Day Air,Yes,46,PayPal,Fortnightly,1,1,6,1,402,High,0,Veteran,0.7202857142857144,72.03,0.716,72.47,1,1,Promo-Dependent
109,70,Male,Socks,Clothing,79,Montana,L,Purple,Spring,3.4,Yes,Next Day Air,Yes,32,Bank Transfer,Bi-Weekly,1,1,5,1,395,High,0,Established,0.5305714285714286,53.06,0.788,79.76,0,1,Deal Seeker
110,58,Male,T-shirt,Clothing,85,Alabama,M,Violet,Spring,2.6,Yes,Next Day Air,Yes,43,Bank Transfer,Fortnightly,1,1,6,1,510,High,0,Veteran,0.6872857142857143,68.73,0.748,75.71,1,1,Promo-Dependent
111,56,Male,Backpack,Accessories,26,New York,M,Black,Summer,4.0,Yes,Standard,Yes,26,Venmo,Fortnightly,1,1,6,1,156,Mid,1,Established,0.5002857142857143,50.03,0.6240000000000001,63.16,0,1,Deal Seeker
